,compound,date,negative,neutral,positive,tn,tweet,user
69,-0.7351,Sat Mar 24 23:45:26 +0000 2018,0.212,0.788,0.0,69,"""For people who are watching ... know that it can be anybody ... to me, the saddest thing is, no one ever reacts un… https://t.co/mHXLxhqo6l",@CNN
70,0.0258,Sat Mar 24 23:45:00 +0000 2018,0.1,0.795,0.105,70,"At the March for Our Lives rally in Washington, Parkland survivor Emma Gonzalez weeps quietly for the majority of h… https://t.co/vuywFdHAFE",@CNN
71,-0.5106,Sat Mar 24 23:37:50 +0000 2018,0.125,0.875,0.0,71,“I kind of felt the pain that they (Parkland survivors) feel because at the end of the day it's not about who gets… https://t.co/L2m8gSb9yS,@CNN
72,0.3612,Sat Mar 24 23:14:50 +0000 2018,0.0,0.878,0.122,72,"Reflecting on today’s March for Our Lives, Parkland survivor Samantha Fuentes tells Van Jones she was “terrified” b… https://t.co/e52P9eyCs9",@CNN
73,-0.34,Sat Mar 24 23:00:16 +0000 2018,0.146,0.854,0.0,73,GOP donor launches gun reform group to coincide with March for Our Lives https://t.co/xI1wPhNmGn https://t.co/N6AXZPFU8r,@CNN
74,0.34,Sat Mar 24 22:45:09 +0000 2018,0.0,0.793,0.207,74,Why I march: People reveal what compelled them to join March for Our Lives https://t.co/KU2nQLcKIM https://t.co/L9UxYiqix2,@CNN
75,0.25,Sat Mar 24 22:30:38 +0000 2018,0.0,0.9,0.1,75,"Martin Luther King Jr.'s granddaughter addresses March for Our Lives in Washington: ""I have a dream that enough is… https://t.co/jyXfB8onIg",@CNN
76,0.0,Sat Mar 24 22:16:42 +0000 2018,0.0,1.0,0.0,76,Aerial footage shows the turnout at various March for Our Lives across the US today https://t.co/50KflY3S4X https://t.co/MVxCufnaIQ,@CNN
77,-0.2263,Sat Mar 24 22:01:07 +0000 2018,0.184,0.711,0.105,77,"""When politicians send their thoughts and prayers with no action, we say 'no more,'"" says Parkland survivor David H… https://t.co/njlvsdWpd6",@CNN
78,-0.2732,Sat Mar 24 21:45:10 +0000 2018,0.174,0.826,0.0,78,This Parkland shooting victim would have turned 18 today https://t.co/8Q3uetdopL https://t.co/arLlrW0Thl,@CNN
79,-0.3862,Sat Mar 24 21:30:14 +0000 2018,0.302,0.44,0.258,79,"""One of my best friends was killed in gun violence right around here, so it's important to me,"" says Paul McCartney… https://t.co/JJd58rPbiJ",@CNN
80,-0.3182,Sat Mar 24 21:15:05 +0000 2018,0.119,0.881,0.0,80,"This marcher is only 6. But as her sign says, so were the Sandy Hook victims. https://t.co/zKUpta5M60 https://t.co/yP4kxLeTjf",@CNN
81,0.0,Sat Mar 24 21:02:06 +0000 2018,0.0,1.0,0.0,81,Those who couldn't attend the March for Our Lives — for health reasons or otherwise — found alternative ways to cal… https://t.co/3sdZyPtiFj,@CNN
82,-0.3412,Sat Mar 24 20:55:29 +0000 2018,0.099,0.901,0.0,82,"""We cannot make America safe until we arm our teachers. ... with pencils, paper and the money they need. ... to sup… https://t.co/VtPhBU4IZ8",@CNN
83,-0.4404,Sat Mar 24 20:36:11 +0000 2018,0.17,0.83,0.0,83,Demonstrators have gathered in Washington DC and across the US to demand stricter gun laws. Follow along for live u… https://t.co/SCzfyryyAZ,@CNN
84,-0.7096,Sat Mar 24 20:29:01 +0000 2018,0.247,0.753,0.0,84,"When a gunman killed 26 at her school, Lauren Milgram, then just 6, hid in a bathroom. Now, the 12-year-old marched… https://t.co/3FKM9sWYq8",@CNN
85,0.3612,Sat Mar 24 20:22:07 +0000 2018,0.0,0.898,0.102,85,"""I feel like I'm closer to being an adult than I should be at my age. I should be hanging out with my girlfriends,… https://t.co/HfoSzBM89B",@CNN
86,0.0,Sat Mar 24 20:14:03 +0000 2018,0.0,1.0,0.0,86,Here's what the NRA had to say today about the March for Our Lives https://t.co/QLvGtGOar9 https://t.co/TMGtJd15hK,@CNN
87,0.3612,Sat Mar 24 20:07:03 +0000 2018,0.0,0.762,0.238,87,The Parkland kids keep checking their privilege https://t.co/uyUQ1yGJHo https://t.co/u6vVVHKwW1,@CNN
88,0.3612,Sat Mar 24 20:04:13 +0000 2018,0.0,0.894,0.106,88,This Parkland survivor threw up on stage and then finished her speech at the March for Our Lives rally in Washingto… https://t.co/0n4W9blvUI,@CNN
89,0.3612,Sat Mar 24 20:04:09 +0000 2018,0.0,0.884,0.116,89,Parkland school shooting survivor Emma Gonzalez stood on stage for 6 minutes and 20 seconds — the time it took the… https://t.co/53EVcEL3v7,@CNN
90,0.0,Sat Mar 24 19:50:43 +0000 2018,0.0,1.0,0.0,90,"Samantha Fuentes, who was wounded in the mass shooting at Marjory Stoneman Douglas High School, asks the crowd to j… https://t.co/0DfmSFip9b",@CNN
