compound_sent,date,news_outlet,tweet,seconds ago
0.0,Mon Mar 26 04:08:52 +0000 2018,@nytimes,"@nytimes Ya knw wht? Even if @JaySekulow WAS @realDonaldTrump @POTUS’ only lawyer, which he isn’t, @JaySekulow is M… https://t.co/PHYDqhYD7w",61242
0.0,Mon Mar 26 04:08:52 +0000 2018,@FoxNews,@bFenstermacher @yakama717 @C44015654 @davidhogg111 @NRA @FoxNews So you don't know,61242
0.7184,Mon Mar 26 04:08:52 +0000 2018,@FoxNews,"RT @FoxNews: On @foxandfriends, @robertjeffress praised President @realDonaldTrump's relationship to people of faith. https://t.co/LqUPUW5q…",61242
0.6908,Mon Mar 26 04:08:51 +0000 2018,@FoxNews,@Roslyn222 @FoxNews @KillerMike @BernieSanders Aww that's nice you're a good mother now go away,61243
0.0,Mon Mar 26 04:08:51 +0000 2018,@CNN,RT @ChriSobieniak: US Army veteran who served two tours in Afghanistan has been deported to Mexico @CNN https://t.co/3vHzuXlrTj,61243
0.34,Mon Mar 26 04:08:50 +0000 2018,@FoxNews,"@JeffFromNH @country_flyover @FoxNews Comparing 2017 to 2016, when gun grabber Hillary was supposed to win is ridic… https://t.co/2TN4Ar1yqT",61244
0.0,Mon Mar 26 04:08:49 +0000 2018,@CNN,@onedovealone @60Minutes @CNN She’s on something.,61245
-0.8126,Mon Mar 26 04:08:48 +0000 2018,@CBSNews,@Chris24405745 @CBSNews They're stupid because they saw ppl get murdered in front of them? Wow who sounds stupid here,61246
0.0,Mon Mar 26 04:08:48 +0000 2018,@CNN,"RT @JamesHasson20: CBS reported the estimated crowd size was just over 200,000. That’s about half the size of an average March For Life. Bu…",61246
0.5719,Mon Mar 26 04:08:47 +0000 2018,@FoxNews,"@CarruthDeberah @FoxNews Yes, forget trying to make the world a better place. This piece of paper says you can neve… https://t.co/SKsH7uukEl",61247
0.6068,Mon Mar 26 04:08:47 +0000 2018,@FoxNews,RT @FoxNews: Fox News Poll: Which is more important to protect? https://t.co/GBFEtQnnmL https://t.co/XMdGrCsv0m,61247
0.0,Mon Mar 26 04:08:47 +0000 2018,@nytimes,@nytimes Sending thoughts and prayers,61247
-0.3595,Mon Mar 26 04:08:47 +0000 2018,@FoxNews,@FoxNews No!,61247
0.3181,Mon Mar 26 04:08:46 +0000 2018,@FoxNews,"@ginawhite1968 @fastbrad24b @BusesForTruth @FoxNews @FoxNewsSunday @newtgingrich Oh, so they can't shoot someone wh… https://t.co/rmpXW8VgCy",61248
0.0,Mon Mar 26 04:08:46 +0000 2018,@CNN,RT @RealCandaceO: Anderson Cooper really spent 60 minutes with a porn star discussing whether or not she had consensual sex 15 years ago an…,61248
-0.1531,Mon Mar 26 04:08:45 +0000 2018,@FoxNews,"RT @FoxNews: .@DevinNunes: ""We also found no collusion between the Trump campaign but we did find links between the Clinton [campaign] and…",61249
0.0,Mon Mar 26 04:08:45 +0000 2018,@nytimes,"@nytimes @AdamGorightly I am going to move to the Garbage Patch, start a family, and have some Garbage Patch Kids.",61249
0.6124,Mon Mar 26 04:08:45 +0000 2018,@CNN,"@marcorubio @CNN The Bible tells us repeatedly how all children are a gift from God. Every single life, every singl… https://t.co/pKTFpAqctQ",61249
-0.1531,Mon Mar 26 04:08:45 +0000 2018,@FoxNews,"RT @FoxNews: .@DevinNunes: ""We also found no collusion between the Trump campaign but we did find links between the Clinton [campaign] and…",61249
0.8316,Mon Mar 26 04:08:44 +0000 2018,@CBSNews,@CBSNews Haha you all laugh as this is a joke. This is the resort that you’re left with when guns are “controlled”.… https://t.co/DNYAdxvkCg,61250
-0.34,Mon Mar 26 04:08:44 +0000 2018,@nytimes,"RT @nytimes: Remington, Centuries-Old Gun Maker, Files for Bankruptcy as Sales Slow https://t.co/5TYhvJKmNc",61250
0.6249,Mon Mar 26 04:08:44 +0000 2018,@nytimes,"RT @nytimes: Floating between California and Hawaii, the ""Great Pacific Garbage Patch"" is up to 16 times bigger than previously thought and…",61250
0.0,Mon Mar 26 04:08:43 +0000 2018,@CNN,RT @RealCandaceO: Anderson Cooper really spent 60 minutes with a porn star discussing whether or not she had consensual sex 15 years ago an…,61251
-0.7466,Mon Mar 26 04:08:40 +0000 2018,@CBSNews,@JerryDRoth @CBSNews You’re still mad the warriors picked him in 09 and not the knicks lmao,61254
0.6249,Mon Mar 26 04:08:40 +0000 2018,@nytimes,"RT @nytimes: Floating between California and Hawaii, the ""Great Pacific Garbage Patch"" is up to 16 times bigger than previously thought and…",61254
0.0,Mon Mar 26 04:08:39 +0000 2018,@CNN,RT @CNN: Officers muted body cameras in Stephon Clark shooting. Why? https://t.co/jK8eQpI6T9 https://t.co/e3oQDq4IWr,61255
0.018,Mon Mar 26 04:08:39 +0000 2018,@CBSNews,"RT @CBSNews: ""America, I am pleading with you to realize this is not OK. We do not have to live like this,"" says Matthew Soto, whose sister…",61255
0.0,Mon Mar 26 04:08:38 +0000 2018,@CNN,RT @RealCandaceO: Anderson Cooper really spent 60 minutes with a porn star discussing whether or not she had consensual sex 15 years ago an…,61256
0.2023,Mon Mar 26 04:08:38 +0000 2018,@FoxNews,"RT @FoxNews: .@hogangidley45 on #MarchForOurLives: ""One of the significant victories in this omnibus package were two pieces of legislation…",61256
0.7781,Mon Mar 26 04:08:37 +0000 2018,@FoxNews,@BluewaveSanders @FoxNews LOL I wont be giving mine up i can assure you of that. I am safe already because i own gu… https://t.co/84iaPaFzQZ,61257
0.0,Mon Mar 26 04:08:36 +0000 2018,@CNN,RT @tomgreenlive: US Army veteran who served two tours in Afghanistan has been deported to Mexico @CNN https://t.co/YirqjTkmIQ,61258
0.6633,Mon Mar 26 04:08:35 +0000 2018,@FoxNews,"@NMetcalf1982 @FoxBusiness @FoxNews @POTUS People in TX live in fear of decapitation, sounds like a good reason for… https://t.co/H2L8SZ4RFa",61259
-0.9509,Mon Mar 26 04:08:35 +0000 2018,@CNN,"RT @FederalistSC: @AntleredAries @CNN Fact: U.K. street robberies soared 28% in 2001. Violent crime was up 11%, murders up 4%, and rapes we…",61259
-0.25,Mon Mar 26 04:08:35 +0000 2018,@nytimes,@nytimes @chicagotribune please chicago do not sting me anymore no matter how nobody anywhere in the world no satif… https://t.co/tpEmibxwD6,61259
